Video TotalLoss AvgLoss
1320 0.109685 0.021937
1325 0.476450 0.095290
1330 0.170162 0.034032
1335 0.329837 0.065967
1340 0.092239 0.018448
1345 0.218481 0.043696
1350 0.435850 0.087170
1355 0.393795 0.078759
1360 0.378283 0.075657
1365 0.410202 0.082040
1370 0.280680 0.056136
1375 0.187885 0.037577
1380 0.168463 0.033693
1385 0.128728 0.025746
1390 0.248972 0.049794
1395 0.255049 0.051010
1400 0.139351 0.027870
1405 0.312969 0.062594
1410 0.065635 0.013127
1415 0.156713 0.031343
1420 0.178605 0.035721
1425 0.245085 0.049017
1430 0.428571 0.085714
1435 0.255614 0.051123
1440 0.143546 0.028709
1445 0.183473 0.036695
1450 0.103843 0.020769
1455 0.164219 0.032844
1460 0.078716 0.015743
1465 0.332454 0.066491
1470 0.239764 0.047953
1475 0.293819 0.058764
1480 0.102106 0.020421
1485 0.364798 0.072960
1490 0.207800 0.041560
1495 0.434963 0.086993
1500 0.175359 0.035072
1505 0.352324 0.070465
1510 0.274153 0.054831
1515 0.101452 0.020290
1520 0.102622 0.020524
1525 0.323986 0.064797
1530 0.138953 0.027791
1535 0.128589 0.025718
1540 0.327897 0.065579
1545 0.403262 0.080652
1550 0.355246 0.071049
1555 0.322601 0.064520
1560 0.174935 0.034987
1565 0.428568 0.085714
1570 0.463697 0.092739
1575 0.151566 0.030313
1580 0.422318 0.084464
1585 0.210255 0.042051
1590 0.196336 0.039267
1595 0.203711 0.040742
1600 0.261209 0.052242
1605 0.138665 0.027733
1610 0.325129 0.065026
1615 0.389617 0.077923
1620 0.263905 0.052781
1625 0.159266 0.031853
1630 0.119362 0.023872
1635 0.138112 0.027622
1640 0.428119 0.085624
1645 0.133875 0.026775
1650 0.091201 0.018240
1655 0.190680 0.038136
1660 0.256551 0.051310
1665 0.143707 0.028741
1670 0.173546 0.034709
1675 0.112312 0.022462
1680 0.211009 0.042202
1685 0.441487 0.088297
1690 0.283141 0.056628
1695 0.144592 0.028918
1700 0.195876 0.039175
1705 0.077613 0.015523
1710 0.230853 0.046171
1715 0.108778 0.021756
1720 0.156760 0.031352
1725 0.227876 0.045575
1730 0.212800 0.042560
1735 0.440520 0.088104
1740 0.221373 0.044275
1745 0.192190 0.038438
1750 0.330237 0.066047
1755 0.215468 0.043094
1760 0.506923 0.101385
1765 0.288507 0.057701
1770 0.231841 0.046368
1775 0.219001 0.043800
1780 0.340089 0.068018
1785 0.242207 0.048441
1790 0.113966 0.022793
1795 0.071764 0.014353
1800 0.066884 0.013377
1805 0.272104 0.054421
1810 0.208882 0.041776
1815 0.239456 0.047891
1820 0.368002 0.073600
1825 0.327481 0.065496
